都道府県,店名,電話番号
東京,テイスト アンド センス（Taste AND Sense）,+81 3-5728-7043
東京,epulor,+81 80-8053-1067
東京,STARBUCKS RESERVE® ROASTERY TOKYO,+81 3-6417-0202
東京,Swell Coffee Roasters,+81 3-6427-0093
東京,RIVERSIDE CLUB,+81 3-6416-4646
東京,& OIMO TOKYO CAFE 中目黒店,+81 3-6416-4908
東京,nakameguro SLOW TABLE,+81 3-6303-2906
東京,neel中目黒,+81 3-5708-5323
東京,la vie a la campagne,+81 3-6412-7350
東京,フラワーアンドウォーター,+81 70-2163-2206
東京,ラフレッサ, +81 3-3241-2613
東京,カヌレドキャンティ,+81 3-3527-9022
東京,Hacienda del cielo MODERN MEXICANO,+81 3-5457-1521
東京,Sophia Coffee（ソフィアコーヒー）,+81 3-6277-5720
東京,Swell Coffee Roasters,+81 3-6427-0093
東京,Whitely (Cafe & Bar),+81 50-1742-5098
東京,Nomu Cafe (Nicolai Bergmann),+81 3-5464-0824
東京,THE COOKIE 594,+81 80-3242-5146
東京,ARC,+81 3-5829-4145
東京,バターマスター Living room,+81 3-6304-3269
東京,JOE TALK COFFEE ジョートークコーヒー,+81 3-5422-6230
東京,TAHONA Mezcal & Tequila Cafe Bar | タオナ メスカル&テキーラ カフェ バー,+81 3-6416-0353
東京,IVY PLACE,+81 3-6415-3232
東京,No.,+81 3-6712-5068
東京,恵比寿の焚き火バー  CityCamp / シティーキャンプ,+81 50-3503-5616
東京,THE LAB TOKYO,+81 3-4500-1534
東京,chigaya 蔵前,+81 3-5829-5809
東京,B² ビースクエアード,+81 3-6240-3006
東京,Manhattan Bakery & Wine bar,+81 3-6909-5659
東京,パン デ フィロゾフ,+81 3-6874-5808
東京,almond hostel & cafe,+81 50-3628-5577
東京,IPPUKU&MATCHA 日本橋店,+81 3-6262-3224
東京,ippuku&matcha 代々木上原店,+81 80-7306-8686
東京,Chanoma,+81 3-6709-1139
東京,WR. ダブリューアール,+81 3-4361-9294
東京,Waffle cafe ORANGE,+81 3-5738-5320
東京,MOON FACTORY COFFEE,+81 3-3487-4192
東京,cafe The SUN LIVES HERE,+81 3-6875-1730
東京,Café Apéro,+81 80-9981-1645
東京,RIVERSIDE CLUB,+81 3-6416-4646
東京,Sta.神田,+81 3-6260-8890
東京,KAWA KITCHEN,+81 50-8884-9950
東京,safn° サフン,+81 3-5637-7170
東京,NEZUCAFE,+81 3-3400-2536
東京,Common,+81 3-5843-1134
東京,felice domani,+81 3-3481-1010
東京,amber,+81 70-8561-0478
東京,Little Darling Coffee Roasters ｜ リトル ダーリン コーヒー ロースターズ,+81 3-6438-9844
東京,CAFÉ 33,+81 3-3214-3730
東京,Factory & Labo 神乃珈琲,+81 3-6451-2823
東京,カフェ＆レストラン WIRED TOKYO 1999,+81 3-5459-1270
東京,マーメイドコーヒーロースターズ 池袋本店,+81 3-5962-0885
東京,Book Lounge Kable,+81 3-5614-0568
東京,Brooklyn Parlor SHINJUKU,+81 3-6457-7763
東京,PARK COFFEE,+81 3-6754-4286
東京,ノグコーヒーロースターズ 品川,+81 50-6862-7277
東京,ママプラスカフェ 品川店,+81 3-6712-9395
東京,カフェ&バー「リュトモス」,+81 3-5783-1258
東京,Café Apéro 天王洲店,+81 90-4790-3971
東京,KOMAZAWA PARK CAFE,+81 3-6432-1127
東京,kissa nico,+81 3-3717-6677
東京,直火焙煎珈琲 香炉庵,+81 3-5499-2149
東京,紅茶と天然石のお店 COCO NOVA（ココノヴァ）,+81 3-6421-4221
東京,call cafe 家と庭,+81 3-6825-3733
東京,MONZ CAFE,+81 80-4716-4658
東京,ampere 本の森ちゅうおう,+81 3-6228-3511
東京,ロハスカフェARIAKE,+81 3-6457-1150
東京,ANEA CAFE MONNAKA Village,+81 3-6458-5527
東京,炭火焙煎珈琲凛イーストプラス,+81 3-3248-9880
東京,ミタスカフェ,+81 3-6278-7657
東京,白檀,+81 3-6226-6701
東京,BAKU Coffee Roasters 莫珈琲焙煎所,+81 3-6882-4263
東京,Park Community KIBACO,+81 50-1748-2315
東京,BONGEN COFFEE Tokyo Ginza,+81 3-6264-3988
東京,LE CAFE KODEN,+81 3-5621-9939
東京,Turret COFFEE Tsukiji,+81 80-3344-8819
東京,SPBS TOYOSU,+81 3-6225-0540
東京,O.GARDEN MEAT & BREAD CAFE,+81 80-6286-9375
東京,ヒデコーヒービーンズストア,+81 3-3533-1010
東京,仏蘭西屋,+81 3-3564-0462
東京,珈琲専門店 三十間 銀座 本店,+81 3-3564-8096
東京,bills お台場,+81 3-3599-2100
東京,anea cafe 八丁堀,+81 3-6222-9309
東京,Allpress Espresso Tokyo Roastery & Cafe,+81 3-5875-9131
東京,PIT,+81 3-5875-9104
東京,カレーカフェ SHINGA 門前仲町,+81 70-1525-1551
東京,CAFÉ DIOR by LADURÉE,+81 3-6263-8131
東京,カフェ庭園,+81 3-6721-9668
東京,ニューヨークカフェ,+81 3-6412-7885
東京,DAY COFFEE,+81 3-6417-4232
東京,カフェ・ラ・ボエム 白金,+81 50-5444-1077
東京,BONDS MEGURO,+81 3-5422-6681
東京,カフェラウンジ パンドラ,+81 3-5434-3858
東京,wellk,+81 3-6303-2411
東京,uRn.chAi&TeA EBISU,+81 80-9179-8317
東京,THE TEST KITCHEN,+81 50-1745-7875
東京,マーサーブランチエビス,+81 3-3441-7551
東京,広尾B.cafe,+81 3-5423-7511
東京,ダカフェ恵比寿,+81 80-7139-6610
東京,cafe&dining nurikabe,+81 3-6451-2022
東京,cafe again 恵比寿,+81 3-6451-2070
東京,Cafe Grand Jete,+81 3-3495-5003
東京,ヒルサイド カフェ,+81 3-5489-3640
東京,Breakfast & Brunch Jade5,+81 3-6409-6335
東京,IVY PLACE,+81 3-6415-3232
東京,Green G Cafe,+81 80-8890-2989
東京,Cafe Soul Tree,+81 3-6411-7312
東京,居桂詩,+81 3-5477-4533
東京,COFFEE & ROASTER 2-3,+81 3-3327-9923
東京,nice&warm,+81 3-5374-8058
東京,City Coffee Setagaya,+81 50-1033-3252
東京,BY & BY coffee and bar,+81 70-7588-9821
東京,22 CAFÉ / BAR / Art Place 永福町,+81 3-6265-7899
東京,CHILL,+81 70-8488-5712
東京,フルーツカフェhaluuu,+81 90-1706-5633
東京,コロモチャヤ,+81 422-26-5889
東京,OIMO cafe zenpukuji,+81 3-6454-7272
東京,ゆりあぺむぺる,+81 422-48-6822
東京,KANNON COFFEE kichijoji,+81 422-26-7377
東京,SIDEWALK STAND INOKASHIRA,+81 422-29-9961
東京,マーガレットハウエル ショップ&カフェ吉祥寺,+81 422-23-3490
東京,WOODBERRY COFFEE 荻窪店,+81 3-6454-7785
東京,AOLA (アオラ),+81 3-4361-4743
東京,BY THE WAY SHISHA CAFE,+81 80-1120-6846
東京,JULES VERNE COFFEE ❲HARUKANARU COFFEE❳,+81 3-5356-9810
東京,Yonchome Cafe,+81 3-5377-1726
東京,NOSTALGIA CAFE,+81 3-5942-8266
東京,しのカフェ,+81 3-3385-2023
東京,CITY,+81 3-3314-7166
東京,RAD BROS CAFE,+81 3-5942-8619
東京,アール座読書館,+81 3-3312-7941
東京,壱參伍 珈琲とスパイスカレーとか,+81 3-4296-2167
東京,レクト サンド カフェ,+81 3-5929-9207
東京,TAW.,+81 3-5913-9456
東京,MÖWE COFFEE ROASTERS,+81 3-6265-5930
東京,Mugs,+81 3-3382-3644
東京,LOU,+81 3-3387-0888
東京,cafe spile,+81 3-6317-7282
東京,SUB Store Tokyo,+81 80-3496-3883
東京,カフェ・アンセーニュ・ダングル 原宿店,+81 3-3405-4482
東京,CAFÉ 杜のテラス,+81 3-3379-9222
東京,Cafe 2u,+81 3-6279-3523
東京,フリーマン カフェ,+81 3-5766-9111
東京,ジンナンカフェ,+81 3-5728-3786
東京,四八珈琲,+81 3-6380-0739
東京,人間関係 cafe de copain,+81 3-3496-5001
東京,coffee fragile,+81 3-3351-9039
東京,forucafe 本店,+81 3-6233-8739
東京,カフェ香咲,+81 3-3478-4281
